,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years
15304996,S141AB,436643,382706,16502797,195500,2010-10-25 00:00,S,1287961200.0,2010.0
15286768,S119FW,433139,384195,8797978,75000,2002-12-16 00:00,F,1039996800.0,2002.0
15538756,S71SA,434052,384870,9243415,164000,2003-10-15 00:00,T,1066172400.0,2003.0
15604295,S80PP,434640,383390,10476778,100000,2004-10-20 00:00,T,1098226800.0,2004.0
15285976,S119DQ,433641,384945,10603405,325000,2004-08-06 00:00,T,1091746800.0,2004.0
15321975,S23AS,436521,384627,15024851,146500,2008-05-20 00:00,S,1211238000.0,2008.0
15603167,S80JH,434604,382961,9716203,96000,2003-01-17 00:00,T,1042761600.0,2003.0
15536713,S71FE,434993,385385,20644737,85000,2015-12-15 00:00,T,1450137600.0,2015.0
15305752,S141LR,436950,384186,19267191,55000,2014-06-20 00:00,T,1403218800.0,2014.0
15601609,S80BN,434342,382535,13016756,167000,2006-03-27 00:00,S,1143414000.0,2006.0
15284005,S118UF,433118,385493,17942237,182000,2012-10-26 00:00,T,1351206000.0,2012.0
15320896,S22GT,436947,385065,11800178,69500,2005-12-19 00:00,S,1134950400.0,2005.0
15612583,S89BY,434953,383980,7855965,51650,2002-01-18 00:00,T,1011312000.0,2002.0
15601659,S80BQ,434082,382419,16760934,250000,2010-08-16 00:00,S,1281913200.0,2010.0
15539248,S72AY,434242,383960,24359805,135000,2019-03-22 00:00,T,1553212800.0,2019.0
15612146,S88TB,434962,383411,10145846,101000,2004-12-20 00:00,T,1103500800.0,2004.0
15612005,S88SZ,434912,383319,12063313,104950,2005-04-29 00:00,T,1114729200.0,2005.0
15539256,S72BB,434280,384187,22853403,320000,2017-01-06 00:00,O,1483660800.0,2017.0
15612050,S88TA,434891,383369,7948466,39000,2002-05-31 00:00,T,1022799600.0,2002.0
15613787,S89GA,435244,384442,11197910,110000,2004-07-02 00:00,T,1088722800.0,2004.0
15603156,S80JG,434643,383096,20823889,139500,2015-11-06 00:00,T,1446768000.0,2015.0
15536852,S71FS,434748,384919,19876779,135000,2014-08-22 00:00,O,1408662000.0,2014.0
15323351,S23LF,436384,384869,19002461,87000,2013-08-30 00:00,T,1377817200.0,2013.0
